t	R	z	phi	vR	vz	vphi	E	Lz
12387.9	1.22732	-2.74421e-06	3.03789	-1.00916	-0.461586	0.000814783	-0.05	0.001
12391.4	2.56357	3.18165e-06	-0.104038	0.76471	0.233118	0.000390081	-0.05	0.001
12588.7	0.401401	-3.31624e-06	3.03664	0.621416	-1.26851	0.00249127	-0.05	0.001
12788.5	0.323163	3.9877e-06	-0.10755	-0.226142	1.41863	0.00309442	-0.05	0.001
12987.9	0.712122	-1.42374e-06	3.0324	-1.02618	-0.794183	0.00140425	-0.05	0.001
13008.5	10.2825	9.39749e-07	-0.109637	0.299674	0.0633624	9.72528e-05	-0.05	0.001
13188.2	0.501542	-7.38122e-06	3.03131	0.811065	-1.11383	0.00199385	-0.05	0.001
13387.9	0.336276	4.20651e-07	-0.112279	-0.0838917	1.4303	0.00297375	-0.05	0.001
13587.5	0.618361	-2.05362e-06	3.02762	-0.955657	-0.930692	0.00161718	-0.05	0.001
13655.7	18.4508	1.2939e-06	-0.114477	0.0834376	0.0362691	5.41982e-05	-0.05	0.001
13787.7	0.563369	-7.96883e-06	3.02656	0.891691	-1.02016	0.00177504	-0.05	0.001
13987.4	0.342067	1.01859e-06	-0.116806	-0.00709767	1.43103	0.0029234	-0.05	0.001
14187	0.573444	-8.60716e-06	3.02304	-0.903623	-1.00449	0.00174385	-0.05	0.001
14307.4	19.2332	3.42086e-06	-0.1191	-0.0516364	0.0348621	5.19935e-05	-0.05	0.001
14387.2	0.607378	-1.21378e-06	3.02198	0.943368	-0.949104	0.00164642	-0.05	0.001
14586.8	0.338381	4.64465e-06	-0.121314	0.0636296	1.43073	0.00295524	-0.05	0.001
14786.5	0.518147	-8.06285e-07	3.01835	-0.834671	-1.08862	0.00192995	-0.05	0.001
14957.6	12.5582	1.70954e-06	-0.123857	-0.236935	0.0523698	7.96291e-05	-0.05	0.001
14986.7	0.680384	-7.64098e-06	3.01727	1.00901	-0.835396	0.00146976	-0.05	0.001
15186.2	0.32594	3.13125e-06	-0.125983	0.185979	1.42365	0.00306805	-0.05	0.001
15386	0.426222	-1.24709e-06	3.01319	-0.677317	-1.23016	0.00234619	-0.05	0.001
15581.8	3.63255	7.03996e-06	-0.129227	-0.63805	0.168702	0.000275289	-0.05	0.001
15586.6	1.00723	-1.09272e-06	3.01201	1.04649	-0.557218	0.000992819	-0.05	0.001
15785.7	0.331514	5.40917e-06	-0.130971	0.410095	1.37426	0.00301647	-0.05	0.001
15985.6	0.3275	-5.24552e-06	3.00748	-0.388513	-1.38172	0.00305344	-0.05	0.001
16184.7	0.947479	4.96828e-06	-0.135545	-1.05295	0.591081	0.00105543	-0.05	0.001
16190.4	4.14831	-4.5721e-07	3.00568	0.591398	-0.14899	0.000241062	-0.05	0.001
16385.3	0.435276	9.04446e-06	-0.136711	0.697353	1.21537	0.00229739	-0.05	0.001
16585	0.326427	-3.55795e-06	3.00252	-0.170153	-1.42549	0.00306347	-0.05	0.001
16784.5	0.666819	4.26458e-06	-0.140759	-1.00111	0.853001	0.00149966	-0.05	0.001
16818.7	13.6783	-2.21044e-06	3.00036	0.208809	-0.0482063	7.31085e-05	-0.05	0.001
16984.8	0.525234	1.633e-06	-0.141834	0.846286	1.0763	0.00190391	-0.05	0.001
17184.5	0.337885	-8.46941e-06	2.99785	-0.0508597	-1.43138	0.00295959	-0.05	0.001
17384.1	0.596243	2.60191e-06	-0.14547	-0.933461	0.96479	0.00167717	-0.05	0.001
17475.4	19.6567	-3.58612e-07	2.9956	0.0220705	-0.0340732	5.08733e-05	-0.05	0.001
17584.3	0.581774	5.34397e-06	-0.146527	0.916487	0.988461	0.00171888	-0.05	0.001
17783.9	0.339433	-6.6105e-06	2.99332	0.0267551	-1.43158	0.00294609	-0.05	0.001
17983.5	0.5442	2.09798e-06	-0.150117	-0.870938	1.04731	0.00183756	-0.05	0.001
18134.3	16.3603	-5.77626e-06	2.9909	-0.142921	-0.0406155	6.11234e-05	-0.05	0.001
18183.8	0.639401	1.95527e-06	-0.151183	0.978888	0.894239	0.00156396	-0.05	0.001
18383.3	0.330529	-2.46094e-06	2.98871	0.126841	-1.42881	0.00302545	-0.05	0.001
18583.1	0.465881	5.0167e-06	-0.155063	-0.755191	1.16768	0.00214647	-0.05	0.001
18773.6	6.40114	-8.89788e-07	2.98581	-0.446972	-0.0991937	0.000156222	-0.05	0.001
18783.5	0.808174	6.1781e-06	-0.156184	1.05234	0.693538	0.00123736	-0.05	0.001
18982.8	0.32123	-7.22865e-06	2.98385	0.314085	-1.40235	0.00311303	-0.05	0.001
19182.7	0.356367	3.90567e-06	-0.160712	-0.500132	1.33623	0.0028061	-0.05	0.001
19381.4	1.39839	-6.55463e-06	2.97972	-0.973959	-0.409056	0.000715107	-0.05	0.001
19384.5	2.14231	5.40609e-06	-0.162202	0.830417	0.275559	0.000466785	-0.05	0.001
19582.3	0.388947	-3.38548e-06	2.97842	0.587935	-1.2888	0.00257105	-0.05	0.001
19782.2	0.323437	1.12511e-06	-0.165854	-0.252535	1.41409	0.00309179	-0.05	0.001
19981.6	0.741592	-3.24413e-06	2.97413	-1.03616	-0.761922	0.00134845	-0.05	0.001
19997.4	8.76281	3.89775e-06	-0.167893	0.34881	0.073907	0.000114119	-0.05	0.001
20181.9	0.490319	-2.09325e-06	2.97304	0.790492	-1.13348	0.00203949	-0.05	0.001
20381.6	0.336861	8.07093e-06	-0.170591	-0.104616	1.42876	0.00296859	-0.05	0.001
20581.1	0.637123	-2.86941e-06	2.96934	-0.969852	-0.905322	0.00156956	-0.05	0.001
20634.8	16.9132	6.37142e-06	-0.172737	0.128568	0.0395729	5.91253e-05	-0.05	0.001
20781.4	0.551746	-4.12721e-06	2.96829	0.8715	-1.04316	0.00181243	-0.05	0.001
20981	0.345841	2.68111e-06	-0.175084	-0.0357607	1.42948	0.0028915	-0.05	0.001
21180.6	0.603644	-5.84065e-06	2.96485	-0.930342	-0.963866	0.0016566	-0.05	0.001
21268.8	19.5716	6.39458e-06	-0.17726	0.0299722	0.0345048	5.10944e-05	-0.05	0.001
21380.8	0.583987	-2.12373e-06	2.9638	0.906991	-0.996044	0.00171237	-0.05	0.001
21580.4	0.34821	3.53775e-06	-0.179479	0.00243257	1.42922	0.00287183	-0.05	0.001
21780	0.580412	-2.86996e-06	2.96042	-0.903038	-1.00146	0.00172291	-0.05	0.001
21896.3	19.4241	3.28399e-06	-0.181709	-0.0406838	0.0347471	5.14824e-05	-0.05	0.001
21980.3	0.607125	-2.32374e-06	2.95937	0.934691	-0.957786	0.00164711	-0.05	0.001
22179.9	0.345018	1.1618e-06	-0.18388	0.042749	1.42954	0.0028984	-0.05	0.001
22379.5	0.545287	-2.0845e-06	2.95591	-0.864068	-1.05246	0.0018339	-0.05	0.001
22532	16.1032	3.96357e-06	-0.186258	-0.149335	0.0414567	6.20994e-05	-0.05	0.001
22579.8	0.644907	-5.65929e-07	2.95485	0.977661	-0.892424	0.00155061	-0.05	0.001
22779.3	0.334974	4.96016e-06	-0.188398	0.119452	1.42815	0.00298531	-0.05	0.001
22979	0.478187	-1.82863e-06	2.9511	-0.771315	-1.15185	0.00209123	-0.05	0.001
23167	7.44872	7.01918e-07	-0.191183	-0.399097	0.0861845	0.000134251	-0.05	0.001
23179.4	0.774275	-5.63328e-06	2.94999	1.04516	-0.72752	0.00129153	-0.05	0.001
23378.7	0.322754	4.34512e-06	-0.19318	0.282622	1.40859	0.00309834	-0.05	0.001
23578.6	0.373461	-3.72904e-06	2.94561	-0.546515	-1.31223	0.00267766	-0.05	0.001
23776.9	1.73686	3.12319e-06	-0.197038	-0.904687	0.334731	0.00057575	-0.05	0.001
23779.9	1.68265	-2.91042e-06	2.94423	0.915434	-0.344703	0.0005943	-0.05	0.001
23978.2	0.371031	2.91972e-06	-0.198428	0.539988	1.31575	0.00269519	-0.05	0.001
24178.1	0.322566	-3.58632e-06	2.94034	-0.287156	-1.40772	0.00310014	-0.05	0.001
24377.5	0.779102	5.5072e-06	-0.202834	-1.04633	0.722539	0.00128353	-0.05	0.001
24389.4	7.28124	-6.95568e-06	2.93834	0.406209	-0.0880366	0.000137339	-0.05	0.001
24577.8	0.476403	2.66241e-06	-0.203942	0.768793	1.1543	0.00209906	-0.05	0.001
24777.5	0.334465	-5.72159e-06	2.93554	-0.120943	-1.42817	0.00298985	-0.05	0.001
24977.1	0.644835	3.20031e-06	-0.207711	-0.978198	0.891877	0.00155079	-0.05	0.001
25024.7	16.0812	-5.84628e-06	2.9334	0.149891	-0.0414898	6.21844e-05	-0.05	0.001
25177.3	0.544842	6.80289e-06	-0.20877	0.864284	1.05249	0.00183539	-0.05	0.001
25377	0.344457	-2.94432e-06	2.93102	-0.0416633	-1.42974	0.00290312	-0.05	0.001
25576.5	0.604914	4.05621e-06	-0.212244	-0.933331	0.960293	0.00165313	-0.05	0.001
25662.5	19.5	-1.49286e-06	2.92884	0.0355918	-0.0345883	5.12821e-05	-0.05	0.001
25776.8	0.581563	3.27922e-06	-0.213292	0.90566	0.998498	0.0017195	-0.05	0.001
25976.4	0.347223	-3.41132e-06	2.9266	0.00219291	-1.42952	0.00288	-0.05	0.001
26176	0.578355	2.79079e-06	-0.216696	-0.902078	1.00337	0.00172904	-0.05	0.001
26294	19.3485	-4.62706e-07	2.92436	-0.0452755	-0.0348407	5.16836e-05	-0.05	0.001
26376.2	0.608098	8.23443e-06	-0.217744	0.93723	0.954779	0.00164447	-0.05	0.001
26575.8	0.34373	-7.57316e-06	2.92218	0.0479565	-1.42976	0.00290926	-0.05	0.001
26775.5	0.539134	2.7441e-06	-0.221237	-0.857478	1.06078	0.00185483	-0.05	0.001
26932.9	15.3178	-4.37434e-06	2.91977	-0.168733	-0.0434524	6.52835e-05	-0.05	0.001
26975.7	0.652237	5.84726e-06	-0.222299	0.985005	0.880057	0.00153318	-0.05	0.001
27175.2	0.332886	-1.93676e-06	2.91763	0.134199	-1.42745	0.00300403	-0.05	0.001
27375	0.466049	2.15401e-06	-0.226123	-0.751294	1.17012	0.0021457	-0.05	0.001
27565.6	6.31219	-1.73972e-06	2.91475	-0.4514	-0.100723	0.000158424	-0.05	0.001
27575.4	0.812915	6.17559e-06	-0.227242	1.05172	0.691154	0.00123014	-0.05	0.001
27774.7	0.322892	-5.86002e-06	2.9128	0.31276	-1.40216	0.00309701	-0.05	0.001
27974.6	0.35951	4.34271e-06	-0.231711	-0.505867	1.33305	0.00278156	-0.05	0.001
